Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
group_12790,group_12790,1399774.JDWH01000038_gene4059,4.4500000000000005e-226,623.0,"COG3712@1|root,COG3712@2|Bacteria,1N28G@1224|Proteobacteria,1RR9M@1236|Gammaproteobacteria",2|Bacteria,PT,"Fe2 -dicitrate sensor, membrane component",fecR,"GO:0005575,GO:0005623,GO:0042597,GO:0044464",-,ko:K07165,-,-,-,-,ko00000,-,-,-,"DUF4880,DUF4974,FecR",False
fecB,fecB,1399774.JDWH01000038_gene4061,2.72e-207,574.0,"COG4594@1|root,COG4594@2|Bacteria,1R3VS@1224|Proteobacteria,1RMCX@1236|Gammaproteobacteria,3X45Y@547|Enterobacter",2|Bacteria,P,Periplasmic binding protein,fecB,"GO:0005575,GO:0005623,GO:0006810,GO:0008150,GO:0010035,GO:0010038,GO:0010039,GO:0015688,GO:0030288,GO:0030313,GO:0031975,GO:0042221,GO:0042592,GO:0042597,GO:0044464,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0065007,GO:0065008,GO:0098771,GO:1901678",-,ko:K02016,"ko02010,map02010",M00240,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.14,-,iYO844.BSU07520,Peripla_BP_2,False
pcoE,pcoE,571.MC52_00245,2.1e-68,210.0,"28MD3@1|root,2ZC18@2|Bacteria,1RA1T@1224|Proteobacteria,1S2N1@1236|Gammaproteobacteria",2|Bacteria,-,-,pcoE,-,-,-,-,-,-,-,-,-,-,-,-,True
purR~~~lacI,purR~~~lacI,1399774.JDWH01000039_gene4070,6.909999999999999e-246,677.0,"COG1609@1|root,COG1609@2|Bacteria,1MVZ4@1224|Proteobacteria,1RMGU@1236|Gammaproteobacteria,3X1GA@547|Enterobacter",2|Bacteria,K,Periplasmic binding protein LacI transcriptional regulator,lacI,"GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0001130,GO:0001131,GO:0001141,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0042802,GO:0043565,GO:0044212,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141",-,"ko:K02529,ko:K03487",-,-,-,-,"ko00000,ko03000",-,-,-,"LacI,Peripla_BP_3",False
group_32040,group_32040,716541.ECL_03693,6.4e-18,75.1,"COG0110@1|root,COG0110@2|Bacteria,1NZPH@1224|Proteobacteria,1SR4K@1236|Gammaproteobacteria",2|Bacteria,S,Maltose acetyltransferase,-,-,2.3.1.79,ko:K00661,-,-,-,-,"ko00000,ko01000",-,-,-,"Hexapep,Hexapep_2,Mac",True
group_23042,group_23042,1484158.PSNIH1_20790,0.0,1357.0,"COG0582@1|root,COG0582@2|Bacteria,1R9JZ@1224|Proteobacteria,1RY18@1236|Gammaproteobacteria,3W1YJ@53335|Pantoea",2|Bacteria,L,viral genome integration into host DNA,-,-,-,-,-,-,-,-,-,-,-,-,Phage_integrase,False
group_28878,group_28878,1006000.GKAS_02281,1.11e-122,356.0,"COG0739@1|root,COG0739@2|Bacteria,1R6GJ@1224|Proteobacteria,1S1U4@1236|Gammaproteobacteria",2|Bacteria,M,Peptidase family M23,-,-,2.7.1.50,"ko:K00878,ko:K19304","ko00730,ko01100,map00730,map01100",M00127,R04448,"RC00002,RC00017","ko00000,ko00001,ko00002,ko01000,ko01002,ko01011",-,-,-,"OapA,Peptidase_M23",False
group_12712,group_12712,1484158.PSNIH1_20800,8.8e-303,825.0,"COG0582@1|root,COG0582@2|Bacteria,1R96H@1224|Proteobacteria,1RZPN@1236|Gammaproteobacteria,3W1SJ@53335|Pantoea",2|Bacteria,L,Phage integrase family,-,-,-,-,-,-,-,-,-,-,-,-,Phage_integrase,False
pcoA,pcoA,469595.CSAG_04231,0.0,1202.0,"COG2132@1|root,COG2132@2|Bacteria,1MU0J@1224|Proteobacteria,1RQ4N@1236|Gammaproteobacteria",2|Bacteria,Q,Multi-copper,copA,-,-,-,-,-,-,-,-,-,-,-,"CopB,Cu-oxidase,Cu-oxidase_2,Cu-oxidase_3",False
group_2114,group_2114,1484158.PSNIH1_19955,9.05e-67,203.0,"2FIPN@1|root,34AFE@2|Bacteria,1P2Q0@1224|Proteobacteria,1SRYV@1236|Gammaproteobacteria,3W292@53335|Pantoea",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
