Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
plsC,plsC,1045856.EcWSU1_04261,2.81e-168,474.0,"COG0204@1|root,COG0204@2|Bacteria,1RDN7@1224|Proteobacteria,1S4Z5@1236|Gammaproteobacteria,3X30M@547|Enterobacter",2|Bacteria,I,Phosphate acyltransferases,-,-,-,-,-,-,-,-,-,-,-,-,Acyltransferase,False
tssE~~~tssF~~~impG~~~impF,tssE~~~tssF~~~impG~~~impF,716541.ECL_01549,0.0,1246.0,"COG3519@1|root,COG3519@2|Bacteria,1MUY4@1224|Proteobacteria,1RPK4@1236|Gammaproteobacteria,3X265@547|Enterobacter",2|Bacteria,S,"Type VI secretion system, TssF",vasA,-,-,ko:K11896,-,M00334,-,-,"ko00000,ko00002,ko02044",3.A.23.1,-,-,"DUF5459,T6SS_TssF",False
puuA,puuA,716541.ECL_02225,0.0,929.0,"COG0174@1|root,COG0174@2|Bacteria,1MU6V@1224|Proteobacteria,1RPNZ@1236|Gammaproteobacteria,3X36Z@547|Enterobacter",2|Bacteria,E,glutamine synthetase,puuA,"GO:0003674,GO:0003824,GO:0006576,GO:0006595,GO:0006598,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009308,GO:0009310,GO:0009445,GO:0009447,GO:0009987,GO:0016874,GO:0016879,GO:0016880,GO:0034024,GO:0034641,GO:0042402,GO:0044106,GO:0044237,GO:0071704,GO:0097164,GO:1901564,GO:1901565,GO:1901575","6.3.1.11,6.3.1.2","ko:K01915,ko:K09470","ko00220,ko00250,ko00330,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00330,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727",M00136,"R00253,R07414","RC00010,RC00090,RC00096,RC02798","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,"iB21_1397.B21_01285,iECBD_1354.ECBD_2320,iECB_1328.ECB_01274,iECD_1391.ECD_01274,iSF_1195.SF1302",Gln-synt_C,False
group_35766,group_35766,640513.Entas_3812,0.0,1187.0,"COG3345@1|root,COG3345@2|Bacteria,1MW78@1224|Proteobacteria,1RRKC@1236|Gammaproteobacteria,3X360@547|Enterobacter",2|Bacteria,G,enterotoxin,rafA,-,3.2.1.22,ko:K07407,"ko00052,ko00561,ko00600,ko00603,map00052,map00561,map00600,map00603",-,"R01101,R01103,R01104,R01194,R01329,R02926,R03634,R04019,R04470,R05549,R05961,R06091","RC00049,RC00059,RC00451","ko00000,ko00001,ko01000",-,-,-,"F5_F8_type_C,FIVAR,Glyco_hydro_36C,Glyco_hydro_36N,Melibiase",False
narK~~~narU,narK~~~narU,716541.ECL_01894,2.59e-310,848.0,"COG2223@1|root,COG2223@2|Bacteria,1MU27@1224|Proteobacteria,1RMUK@1236|Gammaproteobacteria,3X1I2@547|Enterobacter",2|Bacteria,P,PFAM Major facilitator superfamily,narU,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944",-,ko:K02575,"ko00910,map00910",M00615,-,-,"ko00000,ko00001,ko00002,ko02000",2.A.1.8,-,iEcolC_1368.EcolC_2187,MFS_1,False
group_40243,group_40243,716541.ECL_00738,5.87e-155,435.0,"COG1280@1|root,COG1280@2|Bacteria,1R3YJ@1224|Proteobacteria,1RSMF@1236|Gammaproteobacteria,3X2TP@547|Enterobacter",2|Bacteria,E,LysE type translocator,rhtC,-,-,ko:K05835,-,-,-,-,"ko00000,ko02000",2.A.76.1.2,-,-,LysE,False
yedP,yedP,716541.ECL_03236,9.85e-198,548.0,"COG3769@1|root,COG3769@2|Bacteria,1NFV5@1224|Proteobacteria,1RR9R@1236|Gammaproteobacteria,3X1BV@547|Enterobacter",2|Bacteria,S,Sucrose-6F-phosphate phosphohydrolase,yedP,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0046872,GO:0046914,GO:0050897","2.7.1.31,3.1.3.70","ko:K07026,ko:K15918","ko00051,ko00260,ko00561,ko00630,ko01100,ko01110,ko01130,ko01200,map00051,map00260,map00561,map00630,map01100,map01110,map01130,map01200",M00532,"R01514,R05790","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,Hydrolase_3,False
group_45575,group_45575,716541.ECL_02109,3.9400000000000004e-117,337.0,"COG1309@1|root,COG1309@2|Bacteria,1RA5N@1224|Proteobacteria,1S7TB@1236|Gammaproteobacteria,3X432@547|Enterobacter",2|Bacteria,K,"Bacterial regulatory proteins, tetR family",-,-,-,-,-,-,-,-,-,-,-,-,TetR_N,False
tssK~~~tssC,tssK~~~tssC,640513.Entas_1945,5.8999999999999985e-226,652.0,"COG3515@1|root,COG3515@2|Bacteria,1Q02U@1224|Proteobacteria,1RQNJ@1236|Gammaproteobacteria,3X1T2@547|Enterobacter",2|Bacteria,S,"Type VI secretion system, EvfB, or VasL",-,-,-,ko:K11911,-,M00334,-,-,"ko00000,ko00002,ko02044",3.A.23.1,-,-,"ImpA_N,VasL",False
group_48116,group_48116,716541.ECL_04847,0.0,1032.0,"COG0463@1|root,COG4261@1|root,COG0463@2|Bacteria,COG4261@2|Bacteria,1MVXJ@1224|Proteobacteria,1RNKV@1236|Gammaproteobacteria,3X171@547|Enterobacter",2|Bacteria,M,Glycosyl transferase family 2,ycdQ,-,-,ko:K00786,-,-,-,-,"ko00000,ko01000",-,-,-,"Glycos_transf_2,Lip_A_acyltrans",False
group_22471,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
