,chrom_presence,location
Ebacter_C15853,1.0,chrom
Ebacter_C51247,0.0,plasmid
Ebacter_C100996,1.0,chrom
Ebacter_C20249,1.0,chrom
Ebacter_C95262,1.0,chrom
Ebacter_C86433,1.0,chrom
Ebacter_C22740,0.06285714285714286,plasmid
Ebacter_C41394,1.0,chrom
Ebacter_C58421,1.0,chrom
Ebacter_C5058,0.9777777777777777,chrom
Ebacter_C5052,1.0,chrom
Ebacter_C54177,1.0,chrom
Ebacter_C120317,0.04430379746835443,plasmid
Ebacter_C9181,1.0,chrom
Ebacter_C42390,0.056,plasmid
Ebacter_C99925,1.0,chrom
Ebacter_C82520,0.5263157894736842,chrom
Ebacter_C15216,1.0,chrom
Ebacter_C55054,1.0,chrom
Ebacter_C29676,0.7391304347826086,chrom
Ebacter_C31902,1.0,chrom
Ebacter_C93002,1.0,chrom
Ebacter_C31754,1.0,chrom
Ebacter_C65443,1.0,chrom
Ebacter_C12800,1.0,chrom
Ebacter_C69657,1.0,chrom
Ebacter_C19481,1.0,chrom
Ebacter_C30103,1.0,chrom
Ebacter_C88263,1.0,chrom
Ebacter_C10830,1.0,chrom
Ebacter_C79063,1.0,chrom
Ebacter_C15323,0.9722222222222222,chrom
Ebacter_C46848,1.0,chrom
Ebacter_C19168,0.06285714285714286,plasmid
Ebacter_C99383,0.9914529914529915,chrom
Ebacter_C109732,0.05,plasmid
Ebacter_C128038,0.9949494949494949,chrom
Ebacter_C96801,1.0,chrom
Ebacter_C54165,0.23636363636363636,plasmid
Ebacter_C6185,1.0,chrom
Ebacter_C40921,1.0,chrom
Ebacter_C24317,1.0,chrom
Ebacter_C84422,0.996078431372549,chrom
Ebacter_C86450,1.0,chrom
Ebacter_C25683,1.0,chrom
Ebacter_C21073,1.0,chrom
Ebacter_C26366,1.0,chrom
Ebacter_C19080,0.023255813953488372,plasmid
Ebacter_C19487,0.9722222222222222,chrom
Ebacter_C95248,0.9148936170212766,chrom
Ebacter_C66971,0.15492957746478872,plasmid
