,chrom_presence,location
Ebacter_C100000,0.0,plasmid
Ebacter_C100001,1.0,chrom
Ebacter_C100002,1.0,chrom
Ebacter_C100004,0.25,plasmid
Ebacter_C100008,1.0,chrom
Ebacter_C100010,1.0,chrom
Ebacter_C100011,1.0,chrom
Ebacter_C100014,1.0,chrom
Ebacter_C100019,1.0,chrom
Ebacter_C10001,1.0,chrom
Ebacter_C100020,1.0,chrom
Ebacter_C100021,1.0,chrom
Ebacter_C100022,1.0,chrom
Ebacter_C100023,1.0,chrom
Ebacter_C100025,1.0,chrom
Ebacter_C100026,1.0,chrom
Ebacter_C100027,0.0,plasmid
Ebacter_C100028,1.0,chrom
Ebacter_C100031,1.0,chrom
Ebacter_C100032,0.0,plasmid
Ebacter_C100033,1.0,chrom
Ebacter_C100034,0.0,plasmid
Ebacter_C100035,0.0,plasmid
Ebacter_C100039,1.0,chrom
Ebacter_C100041,1.0,chrom
Ebacter_C100045,1.0,chrom
Ebacter_C100047,1.0,chrom
Ebacter_C100048,1.0,chrom
Ebacter_C100052,0.0,plasmid
Ebacter_C100053,1.0,chrom
Ebacter_C100054,1.0,chrom
Ebacter_C100056,1.0,chrom
Ebacter_C100058,1.0,chrom
Ebacter_C100059,0.16666666666666666,plasmid
Ebacter_C10005,1.0,chrom
Ebacter_C100061,0.0,plasmid
Ebacter_C100062,1.0,chrom
Ebacter_C100063,1.0,chrom
Ebacter_C100064,1.0,chrom
Ebacter_C100065,1.0,chrom
Ebacter_C100066,1.0,chrom
Ebacter_C100069,1.0,chrom
Ebacter_C10006,1.0,chrom
Ebacter_C100070,1.0,chrom
Ebacter_C100071,1.0,chrom
Ebacter_C100075,1.0,chrom
Ebacter_C100076,1.0,chrom
Ebacter_C100077,1.0,chrom
Ebacter_C100078,1.0,chrom
Ebacter_C10007,1.0,chrom
Ebacter_C100080,1.0,chrom
Ebacter_C100082,1.0,chrom
Ebacter_C100084,1.0,chrom
Ebacter_C100085,1.0,chrom
Ebacter_C100087,1.0,chrom
Ebacter_C100089,1.0,chrom
Ebacter_C10008,0.0,plasmid
Ebacter_C100092,1.0,chrom
Ebacter_C100093,1.0,chrom
Ebacter_C100095,1.0,chrom
Ebacter_C100097,1.0,chrom
Ebacter_C100098,1.0,chrom
Ebacter_C1000,1.0,chrom
Ebacter_C100100,1.0,chrom
Ebacter_C100101,1.0,chrom
Ebacter_C100102,0.0,plasmid
Ebacter_C100105,0.0,plasmid
Ebacter_C100106,0.0,plasmid
Ebacter_C100107,0.0,plasmid
Ebacter_C100109,1.0,chrom
Ebacter_C100113,1.0,chrom
Ebacter_C100114,1.0,chrom
Ebacter_C100115,1.0,chrom
Ebacter_C100118,1.0,chrom
Ebacter_C100119,1.0,chrom
Ebacter_C10011,1.0,chrom
Ebacter_C100120,0.0,plasmid
Ebacter_C100121,0.0,plasmid
Ebacter_C100124,1.0,chrom
Ebacter_C100127,1.0,chrom
Ebacter_C100128,1.0,chrom
Ebacter_C100134,0.0,plasmid
Ebacter_C100137,1.0,chrom
Ebacter_C100139,1.0,chrom
Ebacter_C10013,0.9978768577494692,chrom
Ebacter_C100141,1.0,chrom
Ebacter_C100142,1.0,chrom
Ebacter_C100146,0.0,plasmid
Ebacter_C100148,1.0,chrom
Ebacter_C10014,0.9955947136563876,chrom
Ebacter_C100150,1.0,chrom
Ebacter_C100154,1.0,chrom
Ebacter_C100155,0.0,plasmid
Ebacter_C100156,0.0,plasmid
Ebacter_C100158,0.0,plasmid
Ebacter_C100159,0.0,plasmid
Ebacter_C10015,0.05102040816326531,plasmid
Ebacter_C100160,1.0,chrom
Ebacter_C100161,1.0,chrom
Ebacter_C100164,1.0,chrom
Ebacter_C100165,1.0,chrom
Ebacter_C100167,0.0,plasmid
Ebacter_C100168,0.0,plasmid
Ebacter_C100169,0.0,plasmid
Ebacter_C10016,0.0,plasmid
Ebacter_C100170,1.0,chrom
Ebacter_C100171,1.0,chrom
Ebacter_C100172,1.0,chrom
Ebacter_C100173,1.0,chrom
Ebacter_C100174,1.0,chrom
Ebacter_C100175,0.0,plasmid
Ebacter_C100176,0.0,plasmid
Ebacter_C100177,1.0,chrom
Ebacter_C100178,1.0,chrom
Ebacter_C100179,1.0,chrom
Ebacter_C10017,1.0,chrom
Ebacter_C100180,0.0,plasmid
Ebacter_C100181,1.0,chrom
Ebacter_C100182,1.0,chrom
Ebacter_C100183,0.0,plasmid
Ebacter_C100184,1.0,chrom
Ebacter_C100185,1.0,chrom
Ebacter_C100186,1.0,chrom
Ebacter_C100189,1.0,chrom
Ebacter_C10018,1.0,chrom
Ebacter_C100190,0.0,plasmid
Ebacter_C100198,0.0,plasmid
Ebacter_C100199,0.0,plasmid
Ebacter_C100200,0.0,plasmid
Ebacter_C100201,1.0,chrom
Ebacter_C100202,1.0,chrom
