,genome_id,genome_name,taxon_id,genome_status,strain,completion_date,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,comments,additional_metadata,complete_mash_cluster
0,158836.1771,Enterobacter hormaechei FUJ80149,158836,WGS,FUJ80149,2022-06-04T00:00:00Z,PRJDB13516,SAMD00490860,,BRIC00000000,,WGS,MiSeq,92x,SPAdes v. 1.13.1,0,0,120,5107932,54.631542,5011,,Other,2019-12-22,Japan,Japan,Human,,,
1,158836.2297,Enterobacter hormaechei EC50,158836,WGS,EC50,2023-03-20T00:00:00Z,PRJNA944415,SAMN33748124,,JARJGB000000000,,,Illumina Hiseq,10x,SPAdes v. 3.13,0,0,98,5316423,54.633453,5435,5227,Unknown/Unclear,2015,China,China: Sichuan,Human,,collected_by:Lizhang Liu,
2,61645.609,Enterobacter asburiae C210030,61645,WGS,C210030,1900-01-01T00:00:00Z,PRJNA837096,SAMN28189480,GCA_023753065.1,JAMGNC000000000,,WGS,Illumina NovaSeq,12x,SPAdes v. 3.15.1,0,0,72,4909641,55.74055,4855,4727,Unknown/Unclear,2021,China,China: Zhejiang,Human,,sample_type:whole organism,
3,158836.809,Enterobacter hormaechei strain RHBSTW-00198,158836,Complete,RHBSTW-00198,2020-07-27T00:00:00Z,PRJNA605147,SAMN15148534,GCA_013744415.1,"CP056756,CP056757,CP056758,CP056759",University of Oxford,Complete,Hybrid: Illumina and PACBIO_SMRT,107.202796037712x,Unicycler v. v0.4.7,1,3,4,4861737,55.46306,4721,4561,Wastewater,2017,United Kingdom,United Kingdom,Environmental,"These isolates represent a dataset assembled by the REHAB team: A collaborative effort between the Animal and Plant Health Agency, the UK Centre for Ecology &amp\; Hydrology, Thames Water, Public Health England, and the University of Oxford. The focus of this study is on understanding bacterial diversity in four important clinical genera (Escherichia, Klebsiella, Enterobacter and Citrobacter), and strain, MGE and resistance gene flow amongst environmental and farm animal reservoirs, and in rivers around sewage treatment plants, in Oxfordshire, UK, in 2017.","sample_type:culture;biomaterial_provider:Modernising Medical Microbiology on behalf of the REHAB Consortium, Level 7, John Radcliffe Hospital, Oxford, OX3 9DU, UK",3.0
4,158836.1952,Enterobacter hormaechei ECL66,158836,WGS,ECL66,2022-07-03T00:00:00Z,PRJNA846540,SAMN28906575,GCA_024128555.1,JAMYCZ000000000,,WGS,Illumina NovaSeq,230x,ABySS v. 2.1.0,0,12,85,4990276,55.280685,4938,4784,Bodily Fluids,2019-10-14,China,China: Chongqing,Human,,collected_by:Department of Microbiology,
5,550.756,Enterobacter cloacae strain KCJK1725,550,WGS,KCJK1725,2016-05-10T00:00:00Z,PRJNA319130,SAMN04943309,GCF_001641585.1,LXPZ00000000,University of Florida,WGS,Illumina MiSeq,96.0x,SPAdes v. 1.0,,,40,4637068,55.8,4423,4292,Other,2015-10-29,USA,"USA: Alachua County, Florida",Animal,Naturally occurring cefotaxime resistance microbes in beef cattle,sample_type:whole organism,
6,208224.321,Enterobacter kobei 141178,208224,WGS,141178,2022-04-27T00:00:00Z,PRJNA801924,SAMN25419471,GCA_023153795.1,JAKMKL000000000,,WGS,Illumina,100x,Shovill v. 0.9.0,0,0,48,4870518,54.98027,4709,4603,Bodily Fluids,2014,China,China,Human,,collected_by:Yushan Cui,
7,550.307,Enterobacter cloacae strain 32534,550,WGS,32534,2015-03-19T00:00:00Z,PRJNA259658,SAMN03283314,GCF_000957505.1,LAAV00000000,JCVI,WGS,Illumina HiSeq 2000,144.8x,SPAdes v. 3.1.1,,,98,5067265,55.02,5086,4793,Unknown/Unclear,2011,USA,New Jersey,Human,"Carbapenem resistance in Enterobacteriacae is increasingly due to the presence of the KPC beta-lactamase, which can be transferred on several different plasmids. The project is designed to better understand the spread of the blaKPC gene and the genetic backgrounds in which it is carried.",collected_by:Barry Kreiswirth,
8,158836.1974,Enterobacter hormaechei 6700051,158836,WGS,6700051,2022-08-01T00:00:00Z,PRJNA843363,SAMN28729099,GCA_024499855.1,JAMOIW000000000,,WGS,Illumina,100x,CLC NGS Cell v. MAY-2022,0,0,129,5079854,54.671604,5090,,Rectal/Fecal,2020-02,Israel,Israel: Tel Aviv,Human,,sample_type:Rectal,
9,550.1670,Enterobacter cloacae strain NCTC11579,550,WGS,NCTC11579,2018-07-30T00:00:00Z,PRJEB6403,SAMEA2709018,GCA_900447335.1,UGIN00000000,SC,WGS,,,,,,2,4718420,55.085495,4584,4430,Unknown/Unclear,1800-2017,Unknown,Unknown,Unknown,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,,
10,550.1141,Enterobacter cloacae strain AR_0163,550,Complete,AR_0163,2017-06-13T00:00:00Z,PRJNA292902,SAMN04015004,GCA_002192355.1,"CP021749,CP021750",Centers for Disease Control and Prevention,Complete,PacBio RSII,165x,canu v. 1.3,1,1,2,5215817,54.9,5114,4983,Unknown/Unclear,,Unknown,Unknown,Unknown,Collection of bacterial pathogens that consist of carbapenemase-producing Enterobacteriaceae representing a diversity of species,,6.0
11,158836.1841,Enterobacter hormaechei FUJ80381,158836,WGS,FUJ80381,2022-06-04T00:00:00Z,PRJDB13516,SAMD00490892,,BRKU00000000,,WGS,MiSeq,158x,SPAdes v. 1.13.1,0,0,137,5361264,54.825092,5315,,Other,2020-08-20,Japan,Japan,Human,,,
12,550.823,Enterobacter cloacae strain e264,550,WGS,e264,2016-04-06T00:00:00Z,PRJEB5065,SAMEA2273136,GCF_900076715.1,FKDD00000000,SC,WGS,,,,,,89,5344942,55.12,5325,5032,Other,1800-2014,Unknown,Unknown,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0022,
13,1686399.7,Enterobacter sp. BIDMC100 strain Colony289,1686399,Complete,Colony289,2021-07-28T00:00:00Z,PRJNA668870,SAMN17833503,GCA_019378815.1,CP079997,Ministry of Public Health-Thailand,Complete,Illumina HiSeq,87.69x,idba_ud v. V1.1.3,1,0,1,4546640,56.168278,3922,,Food,,Thailand,Thailand: Bangkok,Environmental,Establishment capacity for Whole genome Sequencing for food-borne outbreaks in Thailand,"collected_by:Department of Disease Control, Ministry of Public Health",6.0
14,1296536.241,Enterobacter hormaechei subsp. xiangfangensis Eh8322_LBHALD,1296536,Complete,Eh8322_LBHALD,2023-07-16T00:00:00Z,PRJNA992103,SAMN36341330,,"CP129636,CP129637,CP129638",,,Illumina,70.0x,SPAdes v. 3.15.4,1,2,3,4705594,55.261566,4636,4505,Clinical/Wound,2018-04-21,Senegal,Senegal: Dakar,Human,,collected_by:Bacteriology laboratory of Aristide Le Dantec National University teaching hospital in Dakar Senegal,9.0
15,208224.364,Enterobacter kobei BG285,208224,WGS,BG285,2022-06-24T00:00:00Z,PRJNA759177,SAMN21154644,GCA_023913395.1,JAIOHD000000000,,WGS,Illumina MiSeq,235.27x,SPAdes v. 3.14.1,0,0,72,4697151,54.92421,4624,4488,Wastewater,2017-11-05,Nigeria,Nigeria: Lagos,Environmental,,,
16,550.670,Enterobacter cloacae strain e1032,550,WGS,e1032,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273282,GCF_900075245.1,FJWL00000000,SC,WGS,,,,,,55,5055397,55.03,4959,4726,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0184,
17,158836.2286,Enterobacter hormaechei EC71,158836,WGS,EC71,2023-03-20T00:00:00Z,PRJNA944415,SAMN33748136,,JARJGN000000000,,,Illumina Hiseq,10x,SPAdes v. 3.13,0,0,86,4995941,54.781597,4927,4754,Unknown/Unclear,2015,China,China: Xinjiang,Human,,collected_by:Lizhang Liu,
18,550.733,Enterobacter cloacae strain e1563,550,WGS,e1563,2016-04-05T00:00:00Z,PRJEB5065,SAMEA2273381,GCF_900075885.1,FJZN00000000,SC,WGS,,,,,,56,4965740,54.66,4836,4643,Other,1800-2014,United Kingdom,United Kingdom,Human,"http://www.sanger.ac.uk/resources/downloads/bacteria/ These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/ This data is from bacterial isolates collected in the BSAC Resistance Surveillance Project. Please see www.bsacsurv.org for details and availability.",cambridgeid:MDR0298,
19,299766.5,Enterobacter hormaechei subsp. steigerwaltii strain SMART_268,299766,WGS,SMART_268,2015-12-21T00:00:00Z,PRJNA259658,SAMN04252891,GCF_001471975.1,LPQQ00000000,JCVI,WGS,Illumina NextSeq 500,236.13x,SPAdes v. 3.1.1,,,93,5118691,54.96,5099,4812,Unknown/Unclear,2010,Spain,Spain,Human,"Carbapenem resistance in Enterobacteriacae is increasingly due to the presence of the KPC beta-lactamase, which can be transferred on several different plasmids. The project is designed to better understand the spread of the blaKPC gene and the genetic backgrounds in which it is carried.",collected_by:Johann Pitout,
20,158836.1867,Enterobacter hormaechei FUJ80067,158836,WGS,FUJ80067,2022-06-04T00:00:00Z,PRJDB13518,SAMD00490858,,"AP025824,AP025825,AP025826",,WGS,MiSeq; MinION,414x,Unicycler v. 0.4.9b,3,2,3,4972662,55.001846,4840,4760,Other,2014-12-04,Japan,Japan,Human,,,
21,158836.2238,Enterobacter hormaechei NR3040,158836,WGS,NR3040,2023-03-09T00:00:00Z,PRJNA867733,SAMN06330229,,JANPTC000000000,,,Illumina NovaSeq 6000,247.224x,Unicycler v. 2021,0,0,65,4908555,55.10752,4870,4709,Respiratory,2012,USA,USA: New York City,Human,,collected_by:Anne-Catrin Uhlemann,
22,550.3830,Enterobacter cloacae P7536,550,Complete,P7536,2022-07-05T00:00:00Z,PRJNA713617,SAMN18256316,GCA_024138875.1,"CP071792,CP071791,CP071788,CP071789,CP071790",,Complete,Illumina MiSeq; Oxford Nanopore MinION,20.0x,SPAdes v. May 2020,1,4,5,5569846,54.569534,5673,5365,Rectal/Fecal,2018,France,France: Marseille,Human,,collected_by:IHU Mediterranee Infection,9.0
23,61645.545,Enterobacter asburiae CCBH28669,61645,WGS,CCBH28669,1900-01-01T00:00:00Z,PRJNA677881,SAMN27549441,GCA_023061075.1,JALLCT000000000,,WGS,Illumina MiSeq,111x,SPAdes v. 3.13.0,0,0,140,5371829,55.02878,5472,5265,Blood,2020-08-04,Brazil,Brazil,Human,,collected_by:LACEN/BA,
24,1812935.464,Enterobacter roggenkampii WS28-4,1812935,Complete,WS28-4,2023-04-03T00:00:00Z,PRJNA895843,SAMN31525273,,CP110534,,,Illumina NovaSeq; Oxford Nanopore,662.0x,unicycler v. v0.4.8,1,0,1,4689724,56.01172,4406,4306,Other,2022-05-01,Thailand,Thailand: Ratchaburi,Environmental,,collected_by:Chulalongkorn University,12.0
25,1333851.3,Enterobacter cloacae ECNIH3,1333851,Complete,ECNIH3,2014-09-09T00:00:00Z,PRJNA202894,SAMN02713683,GCA_000750225.1,"CP008897.1,CP008901.1,CP008898.1,CP008900.1,CP008899.1",NISC,Complete,Pacific Biosciences RS II,170x,HGAP v. 2,1,1,5,5061388,54.5891,4695,4559,Respiratory,2011,USA,United States,Human,Whole genome sequencing of Enterobacter cloacae.,,2.0
26,208224.377,Enterobacter kobei BT722,208224,WGS,BT722,2022-08-10T00:00:00Z,PRJNA636101,SAMN30067696,GCA_024623675.1,JANINA000000000,,WGS,Nanopore; Illumina,156x,Trycycler v. v0.5.3,0,0,7,5307590,54.531773,5255,5050,Wastewater,2014-03-25,Brazil,Brazil,Environmental,,collected_by:Laboratorio de Investigacao em Microbiologia Medica (LIMM) - UFRJ,
27,208224.404,Enterobacter kobei SCLZS19,208224,Complete,SCLZS19,2022-11-20T00:00:00Z,PRJNA899984,SAMN31675492,,"CP110873,CP110874,CP110880,CP110882,CP110875,CP110876,CP110877,CP110878,CP110881,CP110879",,,Oxford Nanopore; Illumina,200.0x,Unicycler v. 0.4.9,1,9,10,5574492,54.09345,5709,5421,Unknown/Unclear,2019-08,China,China:Luzhou,Unknown,,,10.0
28,2995131.3,Enterobacter sp. 200527-13,2995131,WGS,200527-13,2022-11-23T00:00:00Z,PRJDB14756,SAMD00555639,,BSCM00000000,,,DNBSEQ-G400,3x,SPAdes v. 3.14,0,0,33,5040510,54.44951,4904,4746,Other,2020-05-27,Japan,Japan,Plant,,,
