Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
group_32030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
plsC,plsC,1045856.EcWSU1_04261,2.81e-168,474.0,"COG0204@1|root,COG0204@2|Bacteria,1RDN7@1224|Proteobacteria,1S4Z5@1236|Gammaproteobacteria,3X30M@547|Enterobacter",2|Bacteria,I,Phosphate acyltransferases,-,-,-,-,-,-,-,-,-,-,-,-,Acyltransferase,False
ynfE~~~dmsA,ynfE~~~dmsA,716541.ECL_02189,0.0,1492.0,"COG0243@1|root,COG0243@2|Bacteria,1NR6J@1224|Proteobacteria,1RMVE@1236|Gammaproteobacteria,3X0FB@547|Enterobacter",2|Bacteria,C,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,ynfE,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0033797,GO:0055114","1.8.5.3,1.97.1.9","ko:K07306,ko:K07309,ko:K07310,ko:K08351","ko00450,ko00780,ko00920,ko01100,map00450,map00780,map00920,map01100",-,"R07229,R09501,R10127","RC02420,RC02555,RC03056","ko00000,ko00001,ko01000,ko02000","5.A.3.3,5.A.3.4",-,"iNRG857_1313.NRG857_07945,iSFV_1184.SFV_1557","Molybdop_Fe4S4,Molybdopterin,Molydop_binding,TAT_signal",False
ypdF,ypdF,640513.Entas_1128,8.370000000000001e-212,591.0,"COG0006@1|root,COG0006@2|Bacteria,1MUZS@1224|Proteobacteria,1RYKI@1236|Gammaproteobacteria",2|Bacteria,E,aminopeptidase,pepQ,"GO:0003674,GO:0003824,GO:0004177,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008238,GO:0016787,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901564","3.4.11.9,3.4.13.9","ko:K01262,ko:K01271,ko:K08326",-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"Creatinase_N,Peptidase_M24",False
tssE~~~tssF~~~impG~~~impF,tssE~~~tssF~~~impG~~~impF,716541.ECL_01549,0.0,1246.0,"COG3519@1|root,COG3519@2|Bacteria,1MUY4@1224|Proteobacteria,1RPK4@1236|Gammaproteobacteria,3X265@547|Enterobacter",2|Bacteria,S,"Type VI secretion system, TssF",vasA,-,-,ko:K11896,-,M00334,-,-,"ko00000,ko00002,ko02044",3.A.23.1,-,-,"DUF5459,T6SS_TssF",False
group_31975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
group_35766,group_35766,640513.Entas_3812,0.0,1187.0,"COG3345@1|root,COG3345@2|Bacteria,1MW78@1224|Proteobacteria,1RRKC@1236|Gammaproteobacteria,3X360@547|Enterobacter",2|Bacteria,G,enterotoxin,rafA,-,3.2.1.22,ko:K07407,"ko00052,ko00561,ko00600,ko00603,map00052,map00561,map00600,map00603",-,"R01101,R01103,R01104,R01194,R01329,R02926,R03634,R04019,R04470,R05549,R05961,R06091","RC00049,RC00059,RC00451","ko00000,ko00001,ko01000",-,-,-,"F5_F8_type_C,FIVAR,Glyco_hydro_36C,Glyco_hydro_36N,Melibiase",False
staE,staE,571.MC52_12920,3.78e-49,164.0,"COG3539@1|root,COG3539@2|Bacteria,1RJYB@1224|Proteobacteria,1S7ET@1236|Gammaproteobacteria",2|Bacteria,NU,cell adhesion,yadL,-,-,-,-,-,-,-,-,-,-,-,"FimH_man-bind,Fimbrial",False
narK~~~narU,narK~~~narU,716541.ECL_01894,2.59e-310,848.0,"COG2223@1|root,COG2223@2|Bacteria,1MU27@1224|Proteobacteria,1RMUK@1236|Gammaproteobacteria,3X1I2@547|Enterobacter",2|Bacteria,P,PFAM Major facilitator superfamily,narU,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944",-,ko:K02575,"ko00910,map00910",M00615,-,-,"ko00000,ko00001,ko00002,ko02000",2.A.1.8,-,iEcolC_1368.EcolC_2187,MFS_1,False
group_36704,group_36704,1399774.JDWH01000003_gene1241,1.56e-153,443.0,"COG0765@1|root,COG0765@2|Bacteria,1P47I@1224|Proteobacteria,1RR4Q@1236|Gammaproteobacteria,3X0I5@547|Enterobacter",2|Bacteria,P,"polar amino acid ABC transporter, inner membrane subunit",glnM,-,-,"ko:K02029,ko:K10003,ko:K10040","ko02010,ko02020,map02010,map02020","M00228,M00230,M00236",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.3,3.A.1.3.19,3.A.1.3.4",-,-,BPD_transp_1,False
group_40243,group_40243,716541.ECL_00738,5.87e-155,435.0,"COG1280@1|root,COG1280@2|Bacteria,1R3YJ@1224|Proteobacteria,1RSMF@1236|Gammaproteobacteria,3X2TP@547|Enterobacter",2|Bacteria,E,LysE type translocator,rhtC,-,-,ko:K05835,-,-,-,-,"ko00000,ko02000",2.A.76.1.2,-,-,LysE,False
group_48116,group_48116,716541.ECL_04847,0.0,1032.0,"COG0463@1|root,COG4261@1|root,COG0463@2|Bacteria,COG4261@2|Bacteria,1MVXJ@1224|Proteobacteria,1RNKV@1236|Gammaproteobacteria,3X171@547|Enterobacter",2|Bacteria,M,Glycosyl transferase family 2,ycdQ,-,-,ko:K00786,-,-,-,-,"ko00000,ko01000",-,-,-,"Glycos_transf_2,Lip_A_acyltrans",False
cspB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,False
yobA,yobA,1399774.JDWH01000002_gene2992,2.24e-56,178.0,"COG2372@1|root,COG2372@2|Bacteria,1N8SS@1224|Proteobacteria,1S9EF@1236|Gammaproteobacteria,3X2JT@547|Enterobacter",2|Bacteria,S,resistance protein CopC,yobA,"GO:0005575,GO:0005623,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044464",-,ko:K07156,-,-,-,-,"ko00000,ko02000",9.B.62.2,-,-,CopC,False
group_37081,group_37081,640513.Entas_4089,3.31e-33,120.0,"2CD7R@1|root,32UHA@2|Bacteria,1N5KZ@1224|Proteobacteria,1S9X7@1236|Gammaproteobacteria,3X43M@547|Enterobacter",2|Bacteria,S,carbon utilization,hofO,"GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0015976,GO:0019439,GO:0034641,GO:0034655,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:1901360,GO:1901361,GO:1901575",-,ko:K12290,-,-,-,-,"ko00000,ko02044",-,-,-,-,False
lptF,lptF,1045856.EcWSU1_04017,1.14e-239,661.0,"COG0795@1|root,COG0795@2|Bacteria,1MUF2@1224|Proteobacteria,1RMN5@1236|Gammaproteobacteria,3X03T@547|Enterobacter",2|Bacteria,S,PFAM Permease YjgP YjgQ,lptF,"GO:0003674,GO:0003824,GO:0005215,GO:0005319,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006869,GO:0008150,GO:0010876,GO:0015221,GO:0015399,GO:0015405,GO:0015437,GO:0015920,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022857,GO:0022884,GO:0031224,GO:0032991,GO:0033036,GO:0034040,GO:0042623,GO:0042626,GO:0043190,GO:0043492,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098533,GO:0098796,GO:0098797,GO:1901264,GO:1901505,GO:1902494,GO:1902495,GO:1904949,GO:1990351",-,"ko:K07091,ko:K11720","ko02010,map02010",M00320,-,-,"ko00000,ko00001,ko00002,ko02000",1.B.42.1,-,"iECED1_1282.ECED1_5114,iUMNK88_1353.UMNK88_5207",YjgP_YjgQ,False
