,genome_name,taxon_id,genome_status,strain,completion_date,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,genome_length,gc_content,patric_cds,refseq_cds,isolation_source,collection_date,isolation_country,geographic_location,host_name,additional_metadata,complete_mash_cluster,mlst,closest_genome_reference,closest_genome_taxonomy,mobile-1,mobile-4,mobile-2,mobile-3,mobile-10,mobile-7,mobile-6,mobile-5,mobile-8,mobile-9,roggenkampii,asburiae-1,asburiae-2,cancerogenous,kobei,bugandensis,mori,ludwigii,cloacae,hormaechei-steigerwaltii-2,hormaechei-steigerwaltii-4,hormaechei-steigerwaltii-1,hormaechei-steigerwaltii-3,hormaechei-hoffmannii-1,hormaechei-hoffmannii-2,hormaechei-hoffmannii-3,hormaechei-hormaechei,hormaechei-oharae,hormaechei-xiangfangensis-2,hormaechei-xiangfangensis-1,hormaechei-xiangfangensis-3,phylon_list
GCA_043562305.2,Enterobacter hormaechei Eh-YZU05,158836,Complete,Eh-YZU05,2025-03-05,PRJNA1172359,SAMN44269493,GCA_043562305.2,SAMN44269493,Yangzhou University,OK,PacBio Sequel,,ASM4356230v2,1,0,1,4738608,55.5,,4358.0,pork sausage,2019,China,China,,,12.0,-1,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-5
158836.1536,Enterobacter hormaechei TUECL19001,158836,Complete,TUECL19001,2022-01-10T00:00:00Z,PRJNA791797,SAMN24341409,GCA_021397695.1,"CP090146,CP090147,CP090148,CP090149",,Complete,Illumina MiSeq; Oxford Nanopore MinION,100.0x,unicycler v. 0.4.8,1,3,4,5039781,54.930264,4910,4754,sputum,2018-02-28,Taiwan,Taiwan: Taichung,Homo sapiens,collected_by:Tungs' Taichung MetroHarbor Hospital (TTMHH),1.0,78,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-2;mobile-3;hormaechei-hoffmannii-1
GCA_047798645.1,Enterobacter hormaechei CYEBC080,158836,Complete,CYEBC080,2025-02-17,PRJNA1219524,SAMN46559742,GCA_047798645.1,SAMN46559742,National Yang Ming Chiao Tung University,OK,Oxford Nanopore MinION,,ASM4779864v1,1,3,4,5116067,54.5,,4744.0,human,2023,Taiwan,Taiwan,Homo sapiens,,4.0,-1,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,mobile-1;hormaechei-hoffmannii-3
2077136.3,Enterobacter cloacae complex sp. FDA-CDC-AR_0164,2077136,Complete,FDA-CDC-AR_0164,2018-04-25T00:00:00Z,PRJNA292902,SAMN04015005,GCA_003071645.1,CP028950,Centers for Disease Control and Prevention,Complete,PacBio RSII,330x,HGAP v. 2.3,1,,1,4849791,54.43888,4726,4648,,,,,,,32.0,1724,GCF_001750725.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter ludwigii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ludwigii
550.1527,Enterobacter cloacae strain PIMB10EC27,550,Complete,PIMB10EC27,2018-04-05T00:00:00Z,PRJNA376861,SAMN06448868,GCA_002982195.1,"CP020089,CP020090,CP020091",Pasteur Institute in Ho Chi Minh City,Complete,PacBio,30.0x,HGAP v. SEP-2016,1,2,3,5419249,54.336754,5407,5238,urine,2010,Viet Nam,Viet Nam,"Human, Homo sapiens",collected_by:Binh Dan Hospital,34.0,513,GCF_000025565.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-7;mobile-6;mobile-8;cloacae
GCA_049913205.1,Enterobacter sp. R-25 R-25,3404057,Complete,R-25,2025-04-25,PRJNA1228643,SAMN47200779,GCA_049913205.1,SAMN47200779,Iowa State University,OK,Illumina HiSeq; Oxford Nanopore GridION; Oxford Nanopore MinION,,ASM4991320v1,1,0,1,4773300,54.5,,4393.0,maize rhizosphere,2019-06,USA,"USA: Iowa State University Marsden Farm, Boone, Co., Iowa",,,32.0,-1,GCF_001750725.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter ludwigii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ludwigii
GCA_009811955.2,Enterobacter asburiae SM1,61645,Complete,SM1,2025-04-10,PRJNA558971,SAMN12505037,GCA_009811955.2,SAMN12505037,Albert Einstein College of Medicine,OK,Illumina HiSeq; PacBio,,SM1_v3,1,0,1,4870997,56.0,,4404.0,feces of conventional mice,2014-06,USA,"USA: Bronx, NY",Mus musculus C57BL/6,,27.0,-1,GCF_024599655.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter asburiae_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
550.3089,Enterobacter cloacae strain FDAARGOS 1431 strain Not applicable,550,Complete,Not applicable,2021-06-28T00:00:00Z,PRJNA231221,SAMN16357573,GCA_019047105.1,"CP077211,CP077212,CP077213",US Food and Drug Administration,Complete,Pacbio; Illumina,1538.93x,"SMRT v. 9.0.0, HGAP v. 4.0",1,2,3,5602625,54.593266,5635,5379,,,Germany,Germany: Braunschweig,,collected_by:DSMZ,33.0,1,GCF_000025565.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mobile-4;mobile-10;cloacae
550.3830,Enterobacter cloacae P7536,550,Complete,P7536,2022-07-05T00:00:00Z,PRJNA713617,SAMN18256316,GCA_024138875.1,"CP071792,CP071791,CP071788,CP071789,CP071790",,Complete,Illumina MiSeq; Oxford Nanopore MinION,20.0x,SPAdes v. May 2020,1,4,5,5569846,54.569534,5673,5365,rectal swab,2018,France,France: Marseille,Homo sapiens,collected_by:IHU Mediterranee Infection,7.0,98,GCF_001729785.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter hormaechei_C,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,mobile-1;mobile-3;mobile-8;hormaechei-xiangfangensis-3
GCA_050157255.1,Enterobacter hormaechei A27304,158836,Complete,A27304,2025-05-06,PRJNA1136676,SAMN42539175,GCA_050157255.1,SAMN42539175,University Hospital Muenster,OK,PacBio Sequel,,ASM5015725v1,1,2,3,4975730,55.0,,4595.0,not collected,2022,Germany,Germany,Homo sapiens,,4.0,-1,GCF_040096145.1,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter intestinihominis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,mobile-9;hormaechei-hoffmannii-3
