Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
ynfE~~~dmsA,ynfE~~~dmsA,716541.ECL_02189,0.0,1492.0,"COG0243@1|root,COG0243@2|Bacteria,1NR6J@1224|Proteobacteria,1RMVE@1236|Gammaproteobacteria,3X0FB@547|Enterobacter",2|Bacteria,C,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,ynfE,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0033797,GO:0055114","1.8.5.3,1.97.1.9","ko:K07306,ko:K07309,ko:K07310,ko:K08351","ko00450,ko00780,ko00920,ko01100,map00450,map00780,map00920,map01100",-,"R07229,R09501,R10127","RC02420,RC02555,RC03056","ko00000,ko00001,ko01000,ko02000","5.A.3.3,5.A.3.4",-,"iNRG857_1313.NRG857_07945,iSFV_1184.SFV_1557","Molybdop_Fe4S4,Molybdopterin,Molydop_binding,TAT_signal",False
ypdF,ypdF,640513.Entas_1128,8.370000000000001e-212,591.0,"COG0006@1|root,COG0006@2|Bacteria,1MUZS@1224|Proteobacteria,1RYKI@1236|Gammaproteobacteria",2|Bacteria,E,aminopeptidase,pepQ,"GO:0003674,GO:0003824,GO:0004177,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008238,GO:0016787,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901564","3.4.11.9,3.4.13.9","ko:K01262,ko:K01271,ko:K08326",-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"Creatinase_N,Peptidase_M24",False
puuA,puuA,716541.ECL_02225,0.0,929.0,"COG0174@1|root,COG0174@2|Bacteria,1MU6V@1224|Proteobacteria,1RPNZ@1236|Gammaproteobacteria,3X36Z@547|Enterobacter",2|Bacteria,E,glutamine synthetase,puuA,"GO:0003674,GO:0003824,GO:0006576,GO:0006595,GO:0006598,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009308,GO:0009310,GO:0009445,GO:0009447,GO:0009987,GO:0016874,GO:0016879,GO:0016880,GO:0034024,GO:0034641,GO:0042402,GO:0044106,GO:0044237,GO:0071704,GO:0097164,GO:1901564,GO:1901565,GO:1901575","6.3.1.11,6.3.1.2","ko:K01915,ko:K09470","ko00220,ko00250,ko00330,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00330,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727",M00136,"R00253,R07414","RC00010,RC00090,RC00096,RC02798","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,"iB21_1397.B21_01285,iECBD_1354.ECBD_2320,iECB_1328.ECB_01274,iECD_1391.ECD_01274,iSF_1195.SF1302",Gln-synt_C,False
staE,staE,571.MC52_12920,3.78e-49,164.0,"COG3539@1|root,COG3539@2|Bacteria,1RJYB@1224|Proteobacteria,1S7ET@1236|Gammaproteobacteria",2|Bacteria,NU,cell adhesion,yadL,-,-,-,-,-,-,-,-,-,-,-,"FimH_man-bind,Fimbrial",False
narK~~~narU,narK~~~narU,716541.ECL_01894,2.59e-310,848.0,"COG2223@1|root,COG2223@2|Bacteria,1MU27@1224|Proteobacteria,1RMUK@1236|Gammaproteobacteria,3X1I2@547|Enterobacter",2|Bacteria,P,PFAM Major facilitator superfamily,narU,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0071944",-,ko:K02575,"ko00910,map00910",M00615,-,-,"ko00000,ko00001,ko00002,ko02000",2.A.1.8,-,iEcolC_1368.EcolC_2187,MFS_1,False
yedP,yedP,716541.ECL_03236,9.85e-198,548.0,"COG3769@1|root,COG3769@2|Bacteria,1NFV5@1224|Proteobacteria,1RR9R@1236|Gammaproteobacteria,3X1BV@547|Enterobacter",2|Bacteria,S,Sucrose-6F-phosphate phosphohydrolase,yedP,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0046872,GO:0046914,GO:0050897","2.7.1.31,3.1.3.70","ko:K07026,ko:K15918","ko00051,ko00260,ko00561,ko00630,ko01100,ko01110,ko01130,ko01200,map00051,map00260,map00561,map00630,map01100,map01110,map01130,map01200",M00532,"R01514,R05790","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,Hydrolase_3,False
group_45575,group_45575,716541.ECL_02109,3.9400000000000004e-117,337.0,"COG1309@1|root,COG1309@2|Bacteria,1RA5N@1224|Proteobacteria,1S7TB@1236|Gammaproteobacteria,3X432@547|Enterobacter",2|Bacteria,K,"Bacterial regulatory proteins, tetR family",-,-,-,-,-,-,-,-,-,-,-,-,TetR_N,False
arnD~~~pmrJ,arnD~~~pmrJ,1045856.EcWSU1_04281,1.19e-201,560.0,"COG0726@1|root,COG0726@2|Bacteria,1N8Q4@1224|Proteobacteria,1RQ0R@1236|Gammaproteobacteria,3X042@547|Enterobacter",2|Bacteria,G,Catalyzes the deformylation of 4-deoxy-4-formamido-L- arabinose-phosphoundecaprenol to 4-amino-4-deoxy-L-arabinose- phosphoundecaprenol. The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides,arnD,"GO:0005575,GO:0008150,GO:0010035,GO:0010038,GO:0010039,GO:0010041,GO:0016020,GO:0042221,GO:0050896",-,ko:K13014,"ko00520,ko01503,map00520,map01503","M00721,M00761",R07662,"RC00323,RC01575","ko00000,ko00001,ko00002,ko01000,ko01005",-,-,"iAF987.Gmet_0882,iB21_1397.B21_02141,iBWG_1329.BWG_2029,iEC042_1314.EC042_2499,iECBD_1354.ECBD_1403,iECB_1328.ECB_02182,iECDH10B_1368.ECDH10B_2416,iECDH1ME8569_1439.ECDH1ME8569_2192,iECD_1391.ECD_02182,iECO103_1326.ECO103_2722,iECO111_1330.ECO111_3006,iECO26_1355.ECO26_3246,iECUMN_1333.ECUMN_2597,iECW_1372.ECW_m2447,iEKO11_1354.EKO11_1508,iETEC_1333.ETEC_2390,iEcDH1_1363.EcDH1_1402,iEcHS_1320.EcHS_A2401,iEcolC_1368.EcolC_1393,iJO1366.b2256,iSFV_1184.SFV_2326,iSSON_1240.SSON_2317,iUMNK88_1353.UMNK88_2808,iWFL_1372.ECW_m2447,iY75_1357.Y75_RS11830",Polysacc_deac_1,False
group_47259,group_47259,911008.GLAD_00218,4.12e-294,806.0,"COG3522@1|root,COG3522@2|Bacteria,1MXKE@1224|Proteobacteria,1RNCB@1236|Gammaproteobacteria",2|Bacteria,S,type VI secretion protein,-,-,-,ko:K11893,"ko02025,map02025",M00334,-,-,"ko00000,ko00001,ko00002,ko02044",3.A.23.1,-,-,T6SS_VasE,False
sRAP~~~yedK,sRAP~~~yedK,1045856.EcWSU1_02313,4.22e-153,433.0,"COG2135@1|root,COG2135@2|Bacteria,1RER4@1224|Proteobacteria,1RSBH@1236|Gammaproteobacteria,3X2H6@547|Enterobacter",2|Bacteria,S,Belongs to the SOS response-associated peptidase family,yedK,-,-,-,-,-,-,-,-,-,-,-,SRAP,True
group_39008,group_39008,716541.ECL_00653,2.18e-47,152.0,"COG3077@1|root,COG3077@2|Bacteria,1N8G2@1224|Proteobacteria,1SCQI@1236|Gammaproteobacteria,3X413@547|Enterobacter",2|Bacteria,L,RelB antitoxin,relB,-,-,"ko:K07473,ko:K18918",-,-,-,-,"ko00000,ko02048,ko03000",-,-,-,RelB,False
group_46874,group_46874,1045856.EcWSU1_02486,1.13e-89,265.0,"COG0251@1|root,COG0251@2|Bacteria,1RCX5@1224|Proteobacteria,1S478@1236|Gammaproteobacteria,3X2F6@547|Enterobacter",2|Bacteria,J,Endoribonuclease L-PSP,yjgH,-,-,-,-,-,-,-,-,-,-,-,Ribonuc_L-PSP,False
yeaQ,yeaQ,1045856.EcWSU1_02711,6.839999999999999e-46,148.0,"COG2261@1|root,COG2261@2|Bacteria,1N72W@1224|Proteobacteria,1S8YP@1236|Gammaproteobacteria,3X2QV@547|Enterobacter",2|Bacteria,S,Transglycosylase associated protein,ymgE,-,-,-,-,-,-,-,-,-,-,-,Transgly_assoc,False
group_33360,group_33360,716541.ECL_04669,2.14e-92,270.0,"COG0789@1|root,COG0789@2|Bacteria,1MZ3P@1224|Proteobacteria,1SA5G@1236|Gammaproteobacteria,3X2A2@547|Enterobacter",2|Bacteria,K,"helix_turn_helix, mercury resistance",zntR,"GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0001121,GO:0001130,GO:0001131,GO:0001140,GO:0001216,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043167,GO:0043169,GO:0043170,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0045893,GO:0045935,GO:0046483,GO:0046872,GO:0046914,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141",-,"ko:K08365,ko:K13638,ko:K19591,ko:K21902",-,M00769,-,-,"ko00000,ko00002,ko01504,ko03000",-,-,-,"MerR,MerR-DNA-bind,MerR_1",False
