Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,phylon_exclusive
group_38530,group_38530,1399774.JDWH01000003_gene1099,3.85e-137,390.0,"COG1285@1|root,COG1285@2|Bacteria,1MURJ@1224|Proteobacteria,1RQUD@1236|Gammaproteobacteria",2|Bacteria,S,MgtC SapB transporter,mgtC,"GO:0008150,GO:0009405,GO:0044419,GO:0051704",-,ko:K07507,-,-,-,-,"ko00000,ko02000",9.B.20,-,iJN678.mgtC,MgtC,False
plsC,plsC,1045856.EcWSU1_04261,2.81e-168,474.0,"COG0204@1|root,COG0204@2|Bacteria,1RDN7@1224|Proteobacteria,1S4Z5@1236|Gammaproteobacteria,3X30M@547|Enterobacter",2|Bacteria,I,Phosphate acyltransferases,-,-,-,-,-,-,-,-,-,-,-,-,Acyltransferase,False
ynfE~~~dmsA,ynfE~~~dmsA,716541.ECL_02189,0.0,1492.0,"COG0243@1|root,COG0243@2|Bacteria,1NR6J@1224|Proteobacteria,1RMVE@1236|Gammaproteobacteria,3X0FB@547|Enterobacter",2|Bacteria,C,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,ynfE,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0033797,GO:0055114","1.8.5.3,1.97.1.9","ko:K07306,ko:K07309,ko:K07310,ko:K08351","ko00450,ko00780,ko00920,ko01100,map00450,map00780,map00920,map01100",-,"R07229,R09501,R10127","RC02420,RC02555,RC03056","ko00000,ko00001,ko01000,ko02000","5.A.3.3,5.A.3.4",-,"iNRG857_1313.NRG857_07945,iSFV_1184.SFV_1557","Molybdop_Fe4S4,Molybdopterin,Molydop_binding,TAT_signal",False
tssE~~~tssF~~~impG~~~impF,tssE~~~tssF~~~impG~~~impF,716541.ECL_01549,0.0,1246.0,"COG3519@1|root,COG3519@2|Bacteria,1MUY4@1224|Proteobacteria,1RPK4@1236|Gammaproteobacteria,3X265@547|Enterobacter",2|Bacteria,S,"Type VI secretion system, TssF",vasA,-,-,ko:K11896,-,M00334,-,-,"ko00000,ko00002,ko02044",3.A.23.1,-,-,"DUF5459,T6SS_TssF",False
ydcF~~~elyC,ydcF~~~elyC,1399774.JDWH01000003_gene1028,4.3200000000000004e-169,474.0,"COG1434@1|root,COG1434@2|Bacteria,1N4TG@1224|Proteobacteria,1RSJ5@1236|Gammaproteobacteria,3X03E@547|Enterobacter",2|Bacteria,S,DUF218 domain,ydcF,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,DUF218,False
group_36704,group_36704,1399774.JDWH01000003_gene1241,1.56e-153,443.0,"COG0765@1|root,COG0765@2|Bacteria,1P47I@1224|Proteobacteria,1RR4Q@1236|Gammaproteobacteria,3X0I5@547|Enterobacter",2|Bacteria,P,"polar amino acid ABC transporter, inner membrane subunit",glnM,-,-,"ko:K02029,ko:K10003,ko:K10040","ko02010,ko02020,map02010,map02020","M00228,M00230,M00236",-,-,"ko00000,ko00001,ko00002,ko02000","3.A.1.3,3.A.1.3.19,3.A.1.3.4",-,-,BPD_transp_1,False
ygfF~~~fadH,ygfF~~~fadH,1399774.JDWH01000003_gene1053,2.29e-217,611.0,"COG1902@1|root,COG1902@2|Bacteria,1MVIX@1224|Proteobacteria,1RMFI@1236|Gammaproteobacteria",2|Bacteria,C,nadh flavin,nemA,-,-,ko:K10680,"ko00633,ko01120,map00633,map01120",-,"R08014,R08017,R08042",RC00250,"ko00000,ko00001,ko01000",-,-,-,Oxidored_FMN,False
group_40243,group_40243,716541.ECL_00738,5.87e-155,435.0,"COG1280@1|root,COG1280@2|Bacteria,1R3YJ@1224|Proteobacteria,1RSMF@1236|Gammaproteobacteria,3X2TP@547|Enterobacter",2|Bacteria,E,LysE type translocator,rhtC,-,-,ko:K05835,-,-,-,-,"ko00000,ko02000",2.A.76.1.2,-,-,LysE,False
yedP,yedP,716541.ECL_03236,9.85e-198,548.0,"COG3769@1|root,COG3769@2|Bacteria,1NFV5@1224|Proteobacteria,1RR9R@1236|Gammaproteobacteria,3X1BV@547|Enterobacter",2|Bacteria,S,Sucrose-6F-phosphate phosphohydrolase,yedP,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0046872,GO:0046914,GO:0050897","2.7.1.31,3.1.3.70","ko:K07026,ko:K15918","ko00051,ko00260,ko00561,ko00630,ko01100,ko01110,ko01130,ko01200,map00051,map00260,map00561,map00630,map01100,map01110,map01130,map01200",M00532,"R01514,R05790","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,Hydrolase_3,False
group_45575,group_45575,716541.ECL_02109,3.9400000000000004e-117,337.0,"COG1309@1|root,COG1309@2|Bacteria,1RA5N@1224|Proteobacteria,1S7TB@1236|Gammaproteobacteria,3X432@547|Enterobacter",2|Bacteria,K,"Bacterial regulatory proteins, tetR family",-,-,-,-,-,-,-,-,-,-,-,-,TetR_N,False
