Gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,mobile-1,mobile-4,mobile-2,mobile-3,mobile-10,mobile-7,mobile-6,mobile-5,mobile-8,mobile-9,roggenkampii,asburiae-1,asburiae-2,cancerogenous,kobei,bugandensis,mori,ludwigii,cloacae,hormaechei-steigerwaltii-2,hormaechei-steigerwaltii-4,hormaechei-steigerwaltii-1,hormaechei-steigerwaltii-3,hormaechei-hoffmannii-1,hormaechei-hoffmannii-2,hormaechei-hoffmannii-3,hormaechei-hormaechei,hormaechei-oharae,hormaechei-xiangfangensis-2,hormaechei-xiangfangensis-1,hormaechei-xiangfangensis-3,phylon_list
group_40051,group_40051,218491.ECA3123,1.7500000000000001e-44,146.0,"2D5EP@1|root,32TIX@2|Bacteria,1N1DW@1224|Proteobacteria,1SBXB@1236|Gammaproteobacteria",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,asburiae-1
group_49541,group_49541,1045856.EcWSU1_02557,2.12e-171,483.0,"COG0583@1|root,COG0583@2|Bacteria,1MU2E@1224|Proteobacteria,1RYUY@1236|Gammaproteobacteria,3X3F0@547|Enterobacter",2|Bacteria,K,LysR substrate binding domain,yagP,"GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141",-,-,-,-,-,-,-,-,-,-,"HTH_1,LysR_substrate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,bugandensis;ludwigii;hormaechei-hoffmannii-1;hormaechei-hoffmannii-3;hormaechei-oharae;hormaechei-xiangfangensis-1
group_37200,group_37200,716541.ECL_03694,2.01e-118,338.0,"COG1662@1|root,COG1662@2|Bacteria,1NHAK@1224|Proteobacteria,1RQRY@1236|Gammaproteobacteria",2|Bacteria,L,cog cog1662,-,-,-,ko:K07480,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_IS1,Zn_Tnp_IS1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
yjbD,yjbD,1399774.JDWH01000011_gene684,2.79e-48,155.0,"2B37U@1|root,31VVV@2|Bacteria,1RHBT@1224|Proteobacteria,1S7BQ@1236|Gammaproteobacteria,3X2SC@547|Enterobacter",2|Bacteria,S,YjbD family (DUF3811),yjbD,-,-,-,-,-,-,-,-,-,-,-,DUF3811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,roggenkampii;asburiae-1;asburiae-2;cancerogenous;kobei;bugandensis;mori;ludwigii;hormaechei-steigerwaltii-2;hormaechei-steigerwaltii-4;hormaechei-steigerwaltii-1;hormaechei-steigerwaltii-3;hormaechei-hoffmannii-1;hormaechei-hoffmannii-2;hormaechei-hoffmannii-3;hormaechei-hormaechei;hormaechei-oharae;hormaechei-xiangfangensis-2;hormaechei-xiangfangensis-1;hormaechei-xiangfangensis-3
hmoA~~~aCTx2,hmoA~~~aCTx2,1399774.JDWH01000001_gene2730,1.22e-76,234.0,"COG4747@1|root,COG4747@2|Bacteria,1RIFA@1224|Proteobacteria,1S6G5@1236|Gammaproteobacteria",2|Bacteria,S,ACT domain protein,-,-,1.3.1.12,ko:K04517,"ko00400,ko00401,ko01100,ko01110,ko01130,ko01230,map00400,map00401,map01100,map01110,map01130,map01230",M00025,R01728,RC00125,"ko00000,ko00001,ko00002,ko01000",-,-,-,"ACT,PDH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,roggenkampii;asburiae-1;asburiae-2;kobei;bugandensis;mori;ludwigii;cloacae;hormaechei-steigerwaltii-2;hormaechei-steigerwaltii-4;hormaechei-steigerwaltii-1;hormaechei-steigerwaltii-3;hormaechei-hoffmannii-1;hormaechei-hoffmannii-2;hormaechei-hoffmannii-3;hormaechei-hormaechei;hormaechei-xiangfangensis-2;hormaechei-xiangfangensis-1;hormaechei-xiangfangensis-3
fimB~~~intS,fimB~~~intS,243265.plu0125,2.06e-278,763.0,"COG0582@1|root,COG0582@2|Bacteria,1MU23@1224|Proteobacteria,1RMJ1@1236|Gammaproteobacteria",2|Bacteria,L,Belongs to the 'phage' integrase family,-,-,-,-,-,-,-,-,-,-,-,-,"Arm-DNA-bind_3,Phage_integrase",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,hormaechei-hormaechei;hormaechei-oharae
group_37792,group_37792,1399774.JDWH01000008_gene2090,2.02e-120,345.0,"COG1881@1|root,COG1881@2|Bacteria,1N0Y4@1224|Proteobacteria,1S400@1236|Gammaproteobacteria,3X1FA@547|Enterobacter",2|Bacteria,S,Phosphatidylethanolamine-binding protein,ybcL,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044424,GO:0044464",-,ko:K06910,-,-,-,-,ko00000,-,-,-,PBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,roggenkampii;asburiae-1;asburiae-2;kobei;ludwigii
group_42141,group_42141,571.MC52_23640,8.96e-80,238.0,"COG4570@1|root,COG4570@2|Bacteria,1N92D@1224|Proteobacteria,1SDZ5@1236|Gammaproteobacteria",2|Bacteria,L,"Endonuclease that resolves Holliday junction intermediates made during homologous genetic recombination and DNA repair. Exhibits sequence and structure-selective cleavage of four-way DNA junctions, where it introduces symmetrical nicks in two strands of the same polarity at the 5' side of dinucleotides. Corrects the defects in genetic recombination and DNA repair associated with inactivation of ruvAB or ruvC",rusA,"GO:0000217,GO:0000400,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005488,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008821,GO:0009987,GO:0016787,GO:0016788,GO:0016889,GO:0016894,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901363",3.1.22.4,ko:K01160,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,RusA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hormaechei-steigerwaltii-4
group_38470,group_38470,640513.Entas_2906,9.17e-149,423.0,"COG1917@1|root,COG2207@1|root,COG1917@2|Bacteria,COG2207@2|Bacteria,1P1FH@1224|Proteobacteria,1RNYR@1236|Gammaproteobacteria,3X3SF@547|Enterobacter",2|Bacteria,K,"helix_turn_helix, arabinose operon control protein",MA20_01125,-,-,-,-,-,-,-,-,-,-,-,"AraC_binding,HTH_18",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,roggenkampii;asburiae-1;bugandensis;mori
group_47529,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,hormaechei-hormaechei
